c SAT instance in DIMACS CNF input format.
p cnf 60 360
-21 -33 -48 0
2 31 35 0
-2 -14 42 0
-27 44 57 0
13 26 45 0
20 24 -36 0
8 30 -44 0
-20 -44 -51 0
11 18 51 0
-23 32 56 0
-1 -41 42 0
-17 40 59 0
12 19 -46 0
-35 53 60 0
4 -6 16 0
-2 -19 50 0
-4 20 -26 0
22 26 -47 0
-23 38 39 0
-10 -21 -26 0
-21 -27 60 0
8 22 -31 0
-12 28 -59 0
-21 31 57 0
18 -20 38 0
9 -31 -36 0
-5 18 -25 0
29 -39 49 0
13 -18 49 0
-17 -25 -35 0
18 21 -55 0
18 20 28 0
4 -28 -38 0
-27 51 -57 0
-13 -35 -46 0
-8 -30 51 0
30 42 -49 0
1 22 54 0
16 -41 -42 0
-2 -16 27 0
14 50 60 0
39 -45 59 0
7 -25 34 0
19 -32 -52 0
-8 -42 -57 0
18 45 48 0
11 39 48 0
-16 -31 52 0
-24 -28 42 0
-15 22 59 0
8 39 -48 0
-30 42 46 0
17 36 44 0
7 21 29 0
1 -7 20 0
39 41 -53 0
-1 5 25 0
-1 20 29 0
27 41 55 0
-16 -25 32 0
2 12 -48 0
8 17 -21 0
-7 -44 -54 0
-11 -24 -50 0
-11 -38 -54 0
10 19 28 0
28 -29 -36 0
-13 44 -54 0
3 -20 53 0
-49 50 59 0
-22 -45 -57 0
29 -36 -60 0
1 -5 58 0
2 -8 59 0
-2 24 54 0
3 23 24 0
-17 -44 48 0
-24 -27 -56 0
15 32 44 0
-46 50 52 0
32 -36 -54 0
-1 -16 -28 0
-30 37 -50 0
-23 -39 -52 0
3 -10 -23 0
-41 45 51 0
14 26 -39 0
3 33 -47 0
8 49 56 0
-10 20 -23 0
3 -8 -60 0
3 25 -34 0
10 28 -42 0
15 -18 50 0
21 -38 -58 0
-4 -22 -60 0
-30 -32 40 0
-28 39 -52 0
6 -36 -50 0
32 53 -60 0
-2 31 52 0
21 -25 52 0
1 -13 -32 0
13 -38 55 0
-18 -22 -43 0
-24 29 56 0
19 31 48 0
-24 -37 41 0
-27 28 -57 0
-5 22 -44 0
10 -13 19 0
11 -17 48 0
17 30 -38 0
2 40 57 0
-5 -10 -35 0
-14 -33 45 0
11 31 -40 0
6 -18 -54 0
-13 -33 39 0
20 -39 45 0
-9 -20 59 0
-10 22 53 0
22 24 29 0
44 47 -52 0
5 22 -50 0
-21 23 -31 0
4 -23 54 0
25 29 47 0
-7 25 -39 0
-19 -23 -47 0
21 24 -48 0
4 -18 55 0
-1 13 -40 0
-16 23 60 0
-2 -5 32 0
24 41 -56 0
-8 -23 54 0
-8 32 55 0
5 39 -56 0
22 26 -33 0
-11 -19 58 0
-12 36 -40 0
-23 25 44 0
16 -39 -48 0
1 10 -42 0
8 -17 -54 0
21 26 53 0
15 20 -26 0
-6 43 -47 0
7 15 -17 0
-50 51 58 0
-30 40 60 0
26 35 43 0
6 -13 15 0
1 -19 34 0
19 25 44 0
-2 -14 30 0
14 -15 53 0
12 16 -59 0
13 -25 -59 0
-7 -8 18 0
-15 23 44 0
6 -35 -48 0
-16 -27 40 0
-24 -32 -57 0
5 -47 -50 0
-19 34 -48 0
3 -6 -37 0
-13 -30 -31 0
4 42 -44 0
-29 39 -56 0
18 -32 -33 0
17 -42 56 0
15 -18 41 0
-3 -30 -35 0
14 15 30 0
-15 -40 -52 0
-3 -22 34 0
18 31 -53 0
-13 41 -56 0
-23 -30 -50 0
-15 -34 -59 0
-11 -17 -33 0
-43 53 58 0
7 14 21 0
10 -14 -37 0
-11 -14 -57 0
6 15 56 0
-1 44 -52 0
1 7 22 0
-15 -35 -54 0
-19 37 60 0
-20 -22 -60 0
-15 16 26 0
-6 -12 -44 0
1 29 51 0
-2 -21 54 0
-13 17 28 0
2 7 51 0
8 -35 -39 0
-23 -29 45 0
-12 26 56 0
-5 -23 -40 0
25 -38 53 0
5 -27 38 0
-10 -33 47 0
31 35 -38 0
-9 16 29 0
37 43 -59 0
14 -43 55 0
20 37 59 0
8 14 -54 0
-6 -45 52 0
-8 -10 31 0
-7 36 -42 0
-20 -34 -41 0
2 -12 50 0
24 -39 -52 0
30 31 41 0
-2 12 -34 0
12 -18 -30 0
4 38 51 0
-11 -33 53 0
10 -15 59 0
-3 -10 -11 0
-3 22 48 0
12 58 60 0
-1 18 -29 0
-13 -17 42 0
14 -37 48 0
2 -44 50 0
14 32 -58 0
22 35 38 0
9 -14 -56 0
2 -3 -29 0
-3 -32 56 0
38 -43 -55 0
14 -30 52 0
-4 49 52 0
25 28 54 0
30 37 -60 0
30 32 -35 0
5 12 -28 0
-39 47 -56 0
16 42 -49 0
18 35 -50 0
-32 46 -49 0
-12 19 -43 0
-1 -44 59 0
15 -20 -36 0
-12 25 38 0
15 38 -52 0
18 33 60 0
11 33 -36 0
14 23 36 0
7 -50 -55 0
-8 14 -59 0
-14 32 54 0
12 -23 54 0
-3 -27 42 0
15 37 -49 0
12 -19 28 0
-4 33 -40 0
29 49 58 0
27 28 -41 0
-13 -37 47 0
1 -7 53 0
26 30 -52 0
5 24 32 0
-1 21 -22 0
-5 10 38 0
-1 44 49 0
-40 51 -56 0
12 -20 22 0
46 -51 53 0
-15 -23 -33 0
-25 28 -51 0
17 18 36 0
9 -27 -49 0
19 27 56 0
23 46 48 0
18 -29 -60 0
36 -52 -55 0
11 -28 30 0
10 45 -51 0
-19 -52 -54 0
-1 -45 46 0
10 19 49 0
10 -23 -31 0
-1 43 -59 0
19 28 53 0
15 -31 -33 0
2 -6 31 0
-20 -21 -58 0
39 42 -59 0
18 -21 -39 0
-2 5 -27 0
-33 43 44 0
22 -36 -59 0
-6 -46 55 0
-35 -45 54 0
1 -26 53 0
-22 25 57 0
-2 33 -49 0
-5 16 58 0
12 -24 -40 0
-17 -51 57 0
-17 19 58 0
5 -40 42 0
-27 -42 -49 0
-26 28 -57 0
13 50 -56 0
8 -36 -37 0
45 53 -54 0
-40 -53 -56 0
-21 22 41 0
25 43 44 0
9 -20 28 0
7 -14 55 0
-11 30 -55 0
-16 -23 35 0
-3 -7 -60 0
