c SAT instance in DIMACS CNF input format.
p cnf 30 48
7 8 -11 0
16 -18 19 0
-3 -9 -29 0
-7 -8 16 0
-9 -12 -20 0
-9 16 -17 0
-12 -19 -30 0
6 7 -19 0
-8 28 29 0
4 -8 -10 0
22 -24 -25 0
3 -6 -12 0
-1 -17 20 0
1 12 -28 0
-17 22 27 0
9 -10 -28 0
-9 -16 -22 0
7 13 23 0
16 21 22 0
-19 -25 28 0
-15 -16 -25 0
4 11 25 0
13 -21 29 0
11 12 20 0
-6 -20 -25 0
-8 -18 -30 0
-4 -23 28 0
-8 -13 -29 0
-2 -10 25 0
-25 -28 -29 0
6 -7 19 0
-8 -10 30 0
1 -24 -26 0
-6 -11 30 0
17 -18 20 0
6 -8 -29 0
1 21 -25 0
-6 14 17 0
7 -11 -30 0
6 13 -15 0
3 -7 -21 0
-4 -7 -10 0
-1 -14 19 0
21 22 28 0
-7 -11 -17 0
-11 -24 26 0
7 -21 -27 0
18 20 26 0
58 99 44 55 51 92 31 85 64 26 10 40 26 62 67 56 19 27 5 79 96 31 93 46 61 84 70 94 71 31 
