c SAT instance in DIMACS CNF input format.
p cnf 30 48
-9 23 -24 0
-7 -27 -30 0
-4 20 -23 0
14 21 -28 0
-23 -26 -30 0
8 19 -27 0
2 -16 -17 0
6 -18 25 0
-5 -19 -22 0
-1 -6 -7 0
-1 -24 -29 0
3 -7 16 0
14 20 -23 0
1 27 -29 0
6 9 -26 0
12 15 24 0
-4 19 -22 0
15 19 -22 0
-3 -4 23 0
-6 7 -21 0
-12 28 -29 0
-12 -14 16 0
7 21 25 0
-1 2 22 0
-15 23 28 0
6 -9 16 0
-6 -22 28 0
8 -13 -30 0
-1 -2 -24 0
2 13 -17 0
-5 25 -30 0
14 -17 -27 0
-5 -11 18 0
9 18 -28 0
-6 -29 30 0
-5 -16 -18 0
-20 22 -23 0
5 11 -30 0
6 9 -17 0
4 -8 18 0
-22 28 30 0
6 -11 -27 0
-3 -20 25 0
-11 -18 23 0
11 23 -26 0
1 -17 23 0
2 -22 25 0
-5 13 -19 0
87 54 21 45 99 98 42 43 50 34 93 95 11 95 55 8 66 14 98 66 78 51 51 82 35 72 60 97 36 93 
